Programa,Total no ano (R$)
"2059 - Política Nuclear","170.619.658,78"
"2105 - Programa de Gestão e Manutenção do Ministério da Agricultura, Pecuária e Abastecimento","1.640.598.967,94"
"2112 - Programa de Gestão e Manutenção do Ministério da Justiça","2.008.475.671,72"
"1427 - Assistência Técnica e Extensão Rural na Agricultura Familiar","61.965,41"
"2016 - Políticas para as Mulheres: Promoção da Igualdade e Enfrentamento à Violência","24.461.005,53"
"0357 - Segurança da Sanidade na Agropecuária","2.147.786,80"
"2123 - Programa de Gestão e Manutenção do Ministério do Esporte","70.029.246,24"
"1061 - Brasil Escolarizado","345.571,29"
"2125 - Programa de Gestão e Manutenção do Ministério do Planejamento, Orçamento e Gestão","1.209.950.229,39"
"2044 - Promoção dos Direitos da Juventude","5.426.707,26"
"0235 - Corredor Nordeste","4.910,43"
"0379 - Desenvolvimento da Agricultura Irrigada","2.494.248,89"
"0570 - Gestão do Processo Eleitoral","84.173,30"
"0085 - Qualidade dos Serviços Previdenciários","2.029,15"
"2117 - Programa de Gestão e Manutenção do Ministério das Comunicações","159.758.810,92"
"0016 - Gestão da Política de Saúde","51.631,88"
"0750 - Apoio Administrativo","470.977,05"
